新檔名,分類,型號,尺寸(cm),資料夾,來源頁,版面位置,原始圖檔,備註
工廠實拍11.webp,工廠實拍,,,06_工廠與工藝,6,,p06_1_x60_799x1065.jpeg,工廠車間、椅架半成品、生產線
工廠實拍12.webp,工廠實拍,,,06_工廠與工藝,6,,p06_2_x61_813x1084.jpeg,工廠車間、椅架半成品、生產線
工廠實拍13.webp,工廠實拍,,,06_工廠與工藝,6,,p06_3_x62_813x1084.jpeg,工廠車間、椅架半成品、生產線
工廠實拍14.webp,工廠實拍,,,06_工廠與工藝,6,,p06_4_x63_813x1084.jpeg,工廠車間、椅架半成品、生產線
工廠實拍15.webp,工廠實拍,,,06_工廠與工藝,7,,p07_1_x68_813x1084.jpeg,工廠車間、椅架半成品、生產線
工廠實拍16.webp,工廠實拍,,,06_工廠與工藝,7,,p07_2_x69_813x1084.jpeg,工廠車間、椅架半成品、生產線
工廠實拍17.webp,工廠實拍,,,06_工廠與工藝,7,,p07_3_x70_813x1084.jpeg,工廠車間、椅架半成品、生產線
工廠實拍18.webp,工廠實拍,,,06_工廠與工藝,7,,p07_4_x71_813x1084.jpeg,工廠車間、椅架半成品、生產線
工廠實拍19.webp,工廠實拍,,,06_工廠與工藝,8,,p08_1_x76_1152x1536.jpeg,工廠車間、椅架半成品、生產線
工廠實拍20.webp,工廠實拍,,,06_工廠與工藝,8,,p08_2_x77_798x1064.jpeg,工廠車間、椅架半成品、生產線
工廠實拍21.webp,工廠實拍,,,06_工廠與工藝,8,,p08_3_x78_793x1056.jpeg,工廠車間、椅架半成品、生產線
工藝細節01.webp,工藝細節,,,06_工廠與工藝,9,,p09_1_x84_874x1164.jpeg,榫卯、打磨、塗裝等工序特寫
工藝細節02.webp,工藝細節,,,06_工廠與工藝,9,,p09_2_x85_872x1163.jpeg,榫卯、打磨、塗裝等工序特寫
工藝細節03.webp,工藝細節,,,06_工廠與工藝,9,,p09_3_x86_873x1163.jpeg,榫卯、打磨、塗裝等工序特寫
工藝細節04.webp,工藝細節,,,06_工廠與工藝,10,,p10_1_x91_1147x1529.jpeg,榫卯、打磨、塗裝等工序特寫
工藝細節05.webp,工藝細節,,,06_工廠與工藝,10,,p10_2_x92_800x1067.jpeg,榫卯、打磨、塗裝等工序特寫
工藝細節06.webp,工藝細節,,,06_工廠與工藝,10,,p10_3_x93_794x1059.jpeg,榫卯、打磨、塗裝等工序特寫
材質板01.webp,材質板,,,06_工廠與工藝,5,,p05_1_x53_1170x1560.jpeg,木皮／石材／飾面樣板牆
材質板02.webp,材質板,,,06_工廠與工藝,5,,p05_2_x54_1170x1560.jpeg,木皮／石材／飾面樣板牆
材質板03.webp,材質板,,,06_工廠與工藝,5,,p05_3_x55_1149x1532.jpeg,木皮／石材／飾面樣板牆
木紋裝飾圖01.webp,木紋裝飾圖,,,07_其他,12,,p12_2_x104_1144x1610.png,頁面裝飾用木紋底圖，非產品
木紋裝飾圖02.webp,木紋裝飾圖,,,07_其他,13,,p13_2_x114_1290x1544.png,頁面裝飾用木紋底圖，非產品
餐桌實拍圖01.webp,餐桌實拍圖,,,03_實拍圖,11,,p11_1_x98_1228x820.png,餐廳長桌情境
餐桌椅實拍圖01.webp,餐桌椅實拍圖,,,03_實拍圖,26,,p26_1_x192_646x646.jpeg,餐椅情境照
餐桌椅實拍圖02.webp,餐桌椅實拍圖,,,03_實拍圖,26,,p26_2_x193_646x646.jpeg,餐椅情境照
餐桌椅實拍圖03.webp,餐桌椅實拍圖,,,03_實拍圖,26,,p26_3_x194_646x646.jpeg,餐椅情境照
餐桌椅實拍圖04.webp,餐桌椅實拍圖,,,03_實拍圖,26,,p26_4_x195_646x646.jpeg,餐椅情境照
餐桌椅實拍圖05.webp,餐桌椅實拍圖,,,03_實拍圖,26,,p26_5_x196_646x646.jpeg,餐椅情境照
餐桌椅實拍圖06.webp,餐桌椅實拍圖,,,03_實拍圖,26,,p26_6_x197_646x646.jpeg,餐椅情境照
餐桌椅實拍圖07.webp,餐桌椅實拍圖,,,03_實拍圖,26,,p26_7_x198_646x646.jpeg,餐椅情境照
餐桌椅實拍圖08.webp,餐桌椅實拍圖,,,03_實拍圖,26,,p26_8_x199_646x646.jpeg,餐椅情境照
餐桌椅實拍圖09.webp,餐桌椅實拍圖,,,03_實拍圖,26,,p26_9_x200_646x646.jpeg,餐椅情境照
休閒椅實拍圖01.webp,休閒椅實拍圖,,,03_實拍圖,27,,p27_1_x211_712x1032.png,休閒椅／單椅情境照
休閒椅實拍圖02.webp,休閒椅實拍圖,,,03_實拍圖,27,,p27_2_x212_644x1266.png,休閒椅／單椅情境照
休閒椅實拍圖03.webp,休閒椅實拍圖,,,03_實拍圖,28,,p28_2_x218_866x1508.png,休閒椅／單椅情境照
休閒椅實拍圖04.webp,休閒椅實拍圖,,,03_實拍圖,29,,p29_2_x224_810x1358.png,休閒椅／單椅情境照
休閒椅實拍圖05.webp,休閒椅實拍圖,,,03_實拍圖,30,,p30_2_x230_936x1318.png,休閒椅／單椅情境照
休閒椅實拍圖06.webp,休閒椅實拍圖,,,03_實拍圖,31,,p31_2_x236_1126x1584.png,休閒椅／單椅情境照
休閒椅實拍圖07.webp,休閒椅實拍圖,,,03_實拍圖,32,,p32_2_x242_1106x1536.png,休閒椅／單椅情境照
休閒椅實拍圖08.webp,休閒椅實拍圖,,,03_實拍圖,33,,p33_2_x249_940x1442.png,休閒椅／單椅情境照
休閒椅實拍圖09.webp,休閒椅實拍圖,,,03_實拍圖,34,,p34_1_x254_1216x1826.png,休閒椅／單椅情境照
休閒椅實拍圖10.webp,休閒椅實拍圖,,,03_實拍圖,35,,p35_2_x261_1136x1660.png,休閒椅／單椅情境照
休閒椅實拍圖11.webp,休閒椅實拍圖,,,03_實拍圖,36,,p36_2_x267_728x1128.png,休閒椅／單椅情境照
休閒椅實拍圖12.webp,休閒椅實拍圖,,,03_實拍圖,37,,p37_2_x273_598x904.png,休閒椅／單椅情境照
五斗櫃實拍圖01.webp,五斗櫃實拍圖,,,03_實拍圖,38,,p38_1_x278_1170x1543.jpeg,五斗櫃情境照
五斗櫃實拍圖02.webp,五斗櫃實拍圖,,,03_實拍圖,38,,p38_2_x279_813x1073.jpeg,五斗櫃情境照
五斗櫃實拍圖03.webp,五斗櫃實拍圖,,,03_實拍圖,38,,p38_3_x280_813x1065.jpeg,五斗櫃情境照
五斗櫃實拍圖04.webp,五斗櫃實拍圖,,,03_實拍圖,39,,p39_1_x285_1580x1580.png,五斗櫃情境照
五斗櫃實拍圖05.webp,五斗櫃實拍圖,,,03_實拍圖,40,,p40_1_x298_1170x1241.jpeg,五斗櫃情境照
五斗櫃細節圖01.webp,五斗櫃細節圖,,,04_五斗櫃細節與尺寸,39,,p39_3_x287_480x452.png,抽屜、把手特寫
五斗櫃細節圖02.webp,五斗櫃細節圖,,,04_五斗櫃細節與尺寸,39,,p39_4_x288_432x438.png,抽屜、把手特寫
五斗櫃細節圖03.webp,五斗櫃細節圖,,,04_五斗櫃細節與尺寸,39,,p39_5_x289_451x430.png,抽屜、把手特寫
五斗櫃細節圖04.webp,五斗櫃細節圖,,,04_五斗櫃細節與尺寸,39,,p39_6_x290_430x430.png,抽屜、把手特寫
五斗櫃尺寸圖01.webp,五斗櫃尺寸圖,,,04_五斗櫃細節與尺寸,39,,p39_2_x286_958x928.png,尺寸標示圖
五斗櫃尺寸圖02.webp,五斗櫃尺寸圖,,,04_五斗櫃細節與尺寸,40,,p40_3_x300_1289x821.jpeg,尺寸標示圖
五斗櫃說明圖01.webp,五斗櫃說明圖,,,04_五斗櫃細節與尺寸,40,,p40_2_x299_1093x2365.png,賣點說明圖（含文字）
空間案例01.webp,空間案例,,,05_空間案例,41,,p41_1_x306_3840x2560.jpeg,PRACTICAL PROJECTS 空間案例
空間案例02.webp,空間案例,,,05_空間案例,42,,p42_1_x311_3840x2159.jpeg,PRACTICAL PROJECTS 空間案例
空間案例03.webp,空間案例,,,05_空間案例,43,,p43_1_x319_3840x2161.jpeg,PRACTICAL PROJECTS 空間案例
空間案例04.webp,空間案例,,,05_空間案例,44,,p44_1_x324_3840x2162.jpeg,PRACTICAL PROJECTS 空間案例
空間案例05.webp,空間案例,,,05_空間案例,45,,p45_1_x329_3840x2161.jpeg,PRACTICAL PROJECTS 空間案例
空間案例06.webp,空間案例,,,05_空間案例,46,,p46_1_x334_2001x2088.jpeg,PRACTICAL PROJECTS 空間案例
空間案例07.webp,空間案例,,,05_空間案例,46,,p46_2_x335_2001x2088.jpeg,PRACTICAL PROJECTS 空間案例
空間案例08.webp,空間案例,,,05_空間案例,47,,p47_1_x340_3840x2162.jpeg,PRACTICAL PROJECTS 空間案例
空間案例09.webp,空間案例,,,05_空間案例,48,,p48_1_x345_1940x2250.jpeg,PRACTICAL PROJECTS 空間案例
空間案例10.webp,空間案例,,,05_空間案例,48,,p48_2_x346_2000x2600.jpeg,PRACTICAL PROJECTS 空間案例
空間案例11.webp,空間案例,,,05_空間案例,49,,p49_1_x352_3840x2162.jpeg,PRACTICAL PROJECTS 空間案例
空間案例12.webp,空間案例,,,05_空間案例,50,,p50_1_x357_2880x1328.jpeg,PRACTICAL PROJECTS 空間案例
空間案例13.webp,空間案例,,,05_空間案例,51,,p51_1_x362_2794x1200.jpeg,PRACTICAL PROJECTS 空間案例
空間案例14.webp,空間案例,,,05_空間案例,52,,p52_1_x367_2348x1200.jpeg,PRACTICAL PROJECTS 空間案例
空間案例15.webp,空間案例,,,05_空間案例,53,,p53_1_x372_762x1174.jpeg,PRACTICAL PROJECTS 空間案例
空間案例16.webp,空間案例,,,05_空間案例,53,,p53_2_x373_1428x1290.jpeg,PRACTICAL PROJECTS 空間案例
空間案例17.webp,空間案例,,,05_空間案例,54,,p54_1_x378_2348x1200.jpeg,PRACTICAL PROJECTS 空間案例
空間案例線稿01.webp,空間案例線稿,,,05_空間案例,42,,p42_2_x312_1776x704.jpeg,建築軸測線稿
